road,education,electricity,internet,employment,poverty,votes
8,2,2,8,8,7,807
4,1,2,1,2,5,329
2,0,10,9,0,3,600
5,2,6,8,0,5,588
3,1,10,0,8,1,557
0,3,1,4,10,2,512
6,1,7,0,8,1,601
6,8,3,5,4,0,596
3,1,8,1,7,1,468
8,6,0,3,0,5,532
1,5,1,10,5,2,549
10,9,6,0,3,0,665
5,7,10,9,7,7,982
0,6,2,9,0,5,518
6,9,5,5,0,1,638
9,3,8,5,0,2,616
5,8,9,1,7,10,932
2,0,8,1,1,9,491
1,2,5,5,9,3,556
10,4,0,9,2,6,801
1,7,2,6,10,4,687
0,6,4,4,9,0,537
6,3,0,9,2,3,454
3,3,4,5,10,5,749
5,1,6,6,6,6,795
1,2,7,6,0,9,591
0,2,8,2,0,2,353
0,3,9,7,0,1,521
8,0,8,0,3,7,635
6,2,3,5,8,1,663
3,10,4,9,2,4,671
1,5,1,3,2,10,542
1,6,8,1,4,7,620
0,9,3,4,3,4,590
4,0,1,10,9,6,627
0,1,8,6,1,4,478
1,7,8,9,9,10,948
3,7,8,7,9,10,915
3,1,10,9,6,4,805
5,6,2,0,10,9,753
0,9,8,3,1,10,662
5,0,10,7,0,7,664
1,6,5,5,7,6,680
3,4,0,7,0,7,469
6,1,6,9,7,5,765
1,4,5,9,4,5,649
4,3,4,10,1,10,718
8,5,6,4,8,4,730
5,3,2,6,8,0,557
7,5,1,2,6,9,689
7,2,0,1,1,2,277
6,4,7,5,7,1,745
0,2,5,5,5,7,600
8,0,9,7,1,8,769
10,2,10,5,5,7,841
1,7,1,10,5,3,678
6,4,1,10,9,1,727
0,5,6,3,9,6,663
10,4,1,2,9,3,676
5,0,1,9,1,8,582
1,1,0,10,10,3,604
5,10,0,7,3,8,742
4,5,2,8,3,9,784
7,3,8,10,7,5,936
8,8,10,9,2,7,949
0,5,4,6,1,8,557
8,1,7,6,6,2,684
6,9,9,4,0,8,783
4,6,1,6,0,4,485
9,5,0,1,5,8,649
9,7,2,2,6,7,723
5,0,8,5,1,0,468
6,3,4,8,5,6,761
5,3,4,7,0,1,451
8,10,10,7,10,10,952
1,2,7,3,0,5,394
6,10,6,2,4,6,829
5,0,4,9,10,6,801
7,8,4,2,8,9,891
1,7,1,9,0,4,439
3,10,8,7,2,0,672
5,3,1,1,10,7,625
9,2,10,8,7,6,936
4,2,2,2,9,3,541
10,8,2,4,6,6,807
1,3,7,8,7,7,702
8,10,9,9,3,6,957
2,5,6,6,2,4,562
3,9,8,4,1,9,802
5,3,3,2,5,9,637
5,4,9,3,4,1,653
3,4,4,10,9,3,736
6,10,6,7,1,6,778
6,0,8,6,2,1,502
7,1,8,1,8,10,813
10,5,8,10,9,2,919
4,8,0,7,1,0,424
9,8,2,3,0,5,541
0,2,8,8,7,10,856
4,4,10,4,3,4,613
7,3,6,5,2,6,741
0,7,10,7,9,3,803
9,0,7,4,7,2,729
7,1,6,8,8,7,887
3,5,9,9,3,5,763
8,1,0,3,0,8,415
3,8,9,9,2,10,942
3,6,6,6,6,2,711
6,9,2,5,5,1,670
8,10,7,5,5,4,884
9,0,4,0,2,10,585
0,4,2,0,3,10,450
3,10,9,7,2,8,946
7,6,4,4,4,4,657
0,9,1,5,6,7,639
10,4,6,3,8,10,913
6,9,8,7,3,10,986
4,8,9,5,7,10,920
1,9,9,0,9,8,829
1,2,6,8,7,8,746
2,0,5,2,8,3,517
1,0,0,9,0,10,449
0,5,5,0,8,5,522
4,9,4,7,0,10,810
0,0,3,2,5,5,327
7,7,2,0,0,6,548
7,9,4,6,9,9,980
10,6,6,9,6,0,784
2,0,5,5,7,6,570
6,4,4,10,4,2,738
9,7,0,8,2,8,852
4,8,1,9,9,8,998
2,3,10,0,5,5,528
4,10,1,5,1,2,466
7,4,3,3,0,2,394
6,10,1,6,1,6,689
2,2,1,10,4,10,728
9,2,9,4,6,8,834
4,8,3,7,8,2,705
7,7,2,1,3,1,433
3,5,3,0,8,3,570
3,4,0,10,7,8,718
6,7,6,1,0,4,567
10,3,8,10,10,0,999
6,8,1,9,10,4,855
0,1,1,10,2,4,392
4,6,8,9,0,7,817
3,8,7,7,10,6,982
9,6,2,6,9,3,832
9,8,6,10,6,9,936
2,2,1,5,8,7,602
5,2,0,6,3,1,436
7,8,10,10,9,3,951
9,6,0,9,0,1,598
5,6,1,2,3,8,623
4,7,7,0,10,7,805
0,9,5,4,10,5,822
8,2,6,6,0,9,770
0,8,1,6,3,7,532
7,9,10,7,6,8,977
0,3,6,5,4,0,398
8,9,10,7,0,7,946
10,3,10,9,0,2,813
8,7,2,8,6,10,917
2,9,3,7,9,8,876
5,0,1,4,9,0,428
2,4,2,8,0,9,581
1,1,2,9,0,5,402
6,5,4,0,10,5,660
7,1,7,4,0,3,565
6,7,7,10,10,8,969
5,6,1,10,8,0,612
7,6,0,3,4,5,597
6,3,4,8,10,7,863
5,2,5,10,8,1,686
0,8,1,6,5,5,536
4,1,9,0,7,5,625
3,1,8,10,7,1,692
7,8,4,7,1,0,654
7,8,8,7,1,8,895
6,9,9,7,3,10,901
10,8,6,6,0,4,750
6,0,9,3,8,5,690
6,2,5,1,3,8,566
0,4,8,2,10,8,694
10,0,5,0,8,5,613
6,6,3,1,8,8,752
2,1,0,4,8,10,550
10,9,10,9,9,1,991
6,0,7,10,0,8,703
7,5,0,10,7,10,942
1,2,9,10,8,2,694
4,6,5,0,0,9,524
5,1,0,0,2,2,207
8,1,0,5,9,8,749
3,6,5,10,9,1,853
6,8,1,2,4,5,610
3,1,0,7,5,9,593
8,8,8,0,0,10,825
10,4,1,7,1,10,771
1,3,4,2,5,6,413
0,7,3,2,5,2,479
3,3,9,10,9,9,949
9,8,9,7,8,10,942
2,8,2,4,2,10,669
10,5,3,2,7,6,802
1,1,10,10,8,1,659
0,6,4,2,2,6,451
10,9,0,1,6,3,617
8,3,4,10,1,7,747
8,1,9,2,7,7,794
6,3,10,3,8,10,912
9,2,6,0,10,5,785
10,5,9,7,6,3,930
4,2,10,6,8,8,835
2,4,4,3,5,7,647
2,5,6,3,6,9,625
0,8,7,4,1,4,571
8,7,9,7,4,4,837
7,1,9,6,2,3,622
1,9,5,5,6,8,795
7,2,9,1,10,6,735
6,3,9,9,4,9,869
0,6,2,4,0,1,345
8,9,0,7,10,3,891
3,4,2,9,5,2,619
5,0,7,6,5,7,749
7,10,6,10,9,3,905
7,4,6,8,4,4,677
10,9,2,1,3,7,674
0,3,1,5,9,4,516
2,10,10,9,6,6,988
8,6,9,4,8,6,921
9,8,8,0,0,4,656
8,2,5,2,8,4,683
5,10,3,7,5,9,928
3,9,3,7,2,4,624
9,7,1,0,4,7,583
8,3,5,3,7,4,758
5,2,7,2,8,4,659
3,8,3,5,6,7,658
6,0,4,7,2,5,526
7,3,2,4,2,8,613
6,1,10,10,7,7,945
3,4,8,4,5,6,672
6,7,8,4,4,2,680
4,6,4,5,1,1,549
8,2,4,8,3,7,801
5,0,7,7,8,5,741
8,2,10,0,9,8,903
6,4,7,0,9,4,678
10,1,4,10,10,2,906
5,5,1,9,10,3,714
1,1,3,5,5,9,599
4,3,1,6,2,6,488
6,1,6,2,4,7,617
7,6,10,4,6,4,910
9,5,7,9,9,7,979
1,4,6,2,5,8,594
0,2,0,0,5,10,456
4,3,8,5,9,0,624
5,10,7,9,9,6,901
1,8,6,0,10,2,621
5,0,7,2,10,10,740
1,2,6,1,3,6,433
10,10,4,8,7,7,970
10,3,3,2,9,7,876
9,0,5,1,4,2,419
7,4,8,4,9,7,930
7,1,5,6,2,9,649
1,3,3,0,4,3,357
4,0,0,4,0,1,216
7,1,1,9,0,8,615
2,7,1,2,1,0,287
0,7,8,3,10,4,833
5,4,5,10,2,8,741
10,10,9,4,9,8,948
6,7,3,8,0,9,795
6,0,10,6,1,2,549
1,0,8,5,0,3,386
0,5,5,8,2,6,595
3,2,6,0,8,8,628
9,8,0,4,2,9,731
9,8,6,9,9,4,901
2,4,4,6,6,5,631
3,8,3,2,4,4,509
4,1,0,3,9,1,498
6,8,5,7,8,1,811
1,8,3,10,2,0,584
9,10,9,4,8,5,922
10,7,2,3,0,5,573
9,2,9,4,6,1,726
6,0,2,1,3,6,448
10,8,3,8,0,4,861
1,6,0,1,9,10,550
9,4,6,2,0,0,510
0,6,1,3,2,2,382
2,7,2,8,8,4,672
1,5,8,2,10,1,634
8,0,4,8,1,3,565
1,7,10,5,2,4,639
0,6,8,9,5,1,705
1,0,8,9,8,0,690
5,8,4,6,0,9,771
7,1,2,3,10,6,695
7,9,6,6,3,7,887
10,4,8,5,8,1,818
7,2,4,6,4,9,707
3,2,5,6,2,0,418
1,4,0,10,1,5,423
8,0,6,0,5,2,489
0,4,9,10,4,6,728
9,2,6,8,6,2,738
3,9,10,6,10,6,964
6,10,10,0,5,1,796
2,6,9,0,3,7,671
7,8,9,3,3,8,858
2,9,4,6,6,9,799
9,3,1,10,4,3,759
7,5,6,0,2,7,676
3,1,6,5,5,2,577
2,6,1,5,2,1,351
9,7,7,6,3,3,757
9,5,10,7,8,1,941
6,3,8,8,6,3,791
8,3,10,2,2,7,661
9,0,8,3,8,5,796
4,7,3,8,1,9,758
1,2,4,1,7,4,373
4,1,6,6,10,8,861
10,3,6,8,7,5,922
8,1,0,10,3,9,788
2,5,5,7,7,9,854
10,8,6,3,0,3,713
8,1,1,4,6,9,655
8,10,1,4,7,0,725
10,9,9,4,1,1,791
8,5,4,3,7,2,668
3,1,9,2,1,0,429
8,1,1,8,4,5,676
5,0,10,2,8,6,732
3,5,10,6,5,1,728
1,1,0,9,0,4,345
6,8,6,10,6,1,889
5,4,8,2,10,9,959
0,4,10,5,9,3,776
3,7,2,2,9,8,708
8,8,4,3,10,10,901
5,10,10,2,2,10,901
4,4,6,3,10,1,562
8,7,1,8,6,5,796
5,5,7,8,8,7,865
6,10,7,2,3,7,794
6,2,0,7,1,10,554
4,5,9,0,1,3,467
5,3,3,3,2,9,550
5,7,7,10,5,3,804
9,1,1,3,1,9,479
4,8,4,9,8,10,976
4,6,0,2,5,0,426
6,3,0,2,0,2,298
4,6,6,0,2,0,423
4,3,1,3,9,6,624
3,1,3,10,10,5,696
4,3,0,7,5,4,583
9,10,7,1,8,4,951
2,6,1,1,5,10,486
5,2,8,2,6,0,570
7,10,0,3,8,0,592
5,8,3,3,9,1,647
9,1,8,8,5,9,938
2,8,2,3,7,9,680
10,4,0,10,5,5,799
1,9,3,7,3,0,590
10,6,6,4,8,8,911
1,2,4,2,4,10,591
2,4,6,9,5,8,752
4,8,2,6,1,4,579
8,1,6,6,6,4,785
10,8,5,9,8,2,981
4,9,8,10,8,2,997
9,1,6,5,2,9,816
4,3,7,9,5,1,664
4,6,8,7,3,6,783
8,2,10,5,2,10,835
6,2,10,1,2,1,472
9,4,10,8,2,3,843
4,2,2,10,4,9,662
9,6,6,3,2,9,780
6,3,9,0,10,2,690
7,3,4,4,7,4,678
6,5,4,6,2,5,669
8,4,7,2,5,7,704
0,9,0,9,4,0,461
10,6,7,5,7,5,968
5,2,0,7,8,2,581
9,7,6,2,5,4,829
6,1,5,8,1,1,607
9,7,4,6,8,0,724
10,9,6,4,6,0,848
7,7,8,5,1,4,673
6,9,9,10,6,1,916
3,2,6,1,1,9,514
5,3,4,10,0,0,430
0,7,9,2,7,7,777
7,7,4,10,9,9,961
5,8,5,10,8,1,834
7,1,10,3,0,3,563
6,7,3,4,5,1,556
5,3,4,2,0,7,433
4,9,6,9,2,8,902
5,3,0,10,6,1,568
2,1,10,5,10,3,724
8,0,9,0,3,6,574
10,4,7,6,2,9,859
9,10,10,3,6,3,942
7,6,3,10,7,8,935
3,0,8,8,0,7,587
5,1,5,5,1,8,572
5,5,10,4,4,8,812
5,6,7,8,9,5,936
10,7,1,9,1,7,734
8,1,1,10,7,10,866
3,9,5,1,2,8,651
2,4,2,9,4,8,661
4,7,1,1,8,1,513
2,5,9,3,2,7,633
4,2,2,4,4,7,483
2,7,8,0,1,6,530
6,0,2,7,2,2,522
3,5,5,8,10,7,868
2,2,7,7,3,0,394
0,3,3,3,6,5,492
7,5,4,1,8,4,737
10,1,8,1,10,1,654
0,6,8,3,7,6,666
2,2,4,9,3,9,728
4,1,2,8,7,0,577
2,3,1,7,1,6,398
1,5,10,1,3,2,531
1,3,4,8,8,9,675
10,5,6,5,4,1,656
4,6,9,3,3,3,651
8,3,5,8,10,4,832
2,5,4,6,5,6,614
2,1,6,8,6,0,455
2,7,6,10,1,1,564
7,4,3,7,9,7,907
0,2,7,4,4,0,454
7,9,4,6,6,6,893
2,3,0,9,0,10,599
5,5,2,2,0,10,603
1,7,6,10,3,3,685
1,10,4,0,7,1,592
10,9,5,5,6,9,955
1,2,8,2,7,10,641
9,5,4,5,7,8,920
7,9,2,9,5,4,890
8,10,7,10,0,2,829
2,0,6,4,10,0,507
8,4,1,9,6,8,849
7,7,0,0,0,0,319
9,8,10,5,8,10,939
0,8,6,7,9,8,903
10,10,9,3,7,9,910
10,6,1,1,10,5,702
4,10,8,8,1,0,738
8,1,6,1,6,7,621
0,5,9,6,4,7,728
4,1,9,8,10,0,767
1,6,0,6,4,0,361
2,4,8,2,1,7,603
10,5,3,2,5,0,550
3,6,1,3,0,0,313
8,7,2,8,6,2,845
8,0,5,7,2,7,672
10,2,4,1,3,5,621
4,0,1,10,4,2,517
8,8,2,5,5,4,818
7,10,6,4,7,6,892
0,8,4,3,9,1,652
4,5,0,8,0,9,632
0,9,4,4,8,4,679
5,6,5,5,5,0,595
4,0,8,3,6,6,647
7,3,0,1,2,4,431
0,9,2,1,1,9,521
9,0,2,10,5,4,749
7,5,6,3,10,10,970
3,9,6,6,8,4,781
9,5,1,6,7,1,679
6,2,9,6,9,6,839
3,6,10,0,0,7,584
10,0,6,6,4,8,839
4,7,2,1,6,5,561
0,3,6,8,1,1,474
3,10,7,8,0,5,718
10,9,8,9,1,3,845
10,10,7,9,5,5,1000
7,3,1,8,3,0,498
8,4,8,1,6,0,559
7,2,5,5,10,5,886
5,9,6,1,3,1,609
10,9,3,6,2,6,843
10,1,7,1,3,4,603
6,10,4,1,8,1,697
9,5,0,0,8,7,634
4,4,9,7,6,0,678
5,9,9,1,4,5,808
0,0,10,9,4,8,762
4,5,4,10,8,6,928
8,3,1,2,10,6,654
1,0,6,1,7,6,506
6,0,2,7,10,10,873
5,7,8,4,4,3,760
5,3,3,3,0,0,279
1,10,4,6,3,7,733
10,2,9,7,3,6,861
7,0,8,5,9,9,857
8,8,0,9,3,9,819
10,10,10,9,10,8,975
0,4,0,5,0,5,355
3,3,8,2,1,0,339
1,7,7,8,3,0,567
4,1,0,2,8,0,376
9,7,3,7,0,5,714
9,0,6,8,8,4,796
10,4,3,9,9,1,772
8,0,7,6,8,2,640
1,7,5,9,5,6,772
5,1,2,1,6,3,424
8,5,9,8,0,0,670
6,4,4,9,5,5,800
5,6,5,9,8,8,935
4,0,6,1,4,4,399
3,6,10,8,10,1,892
9,1,5,3,6,6,687
0,2,4,5,3,6,509
0,10,3,10,2,9,721
4,1,10,3,9,6,757
2,10,6,3,0,1,493
1,5,1,6,3,0,470
0,9,10,8,8,7,957
2,4,5,7,4,2,527
5,0,7,1,1,6,436
9,8,10,4,4,7,923
3,4,0,6,8,7,671
5,4,6,0,7,8,658
3,4,5,8,6,1,624
10,1,4,6,4,1,540
7,1,0,8,0,1,443
0,9,5,0,3,0,422
10,0,7,8,5,10,908
4,8,10,9,7,0,896
0,6,5,3,1,8,520
7,5,4,1,3,7,652
10,10,8,7,8,2,912
4,0,6,7,0,0,348
10,1,8,0,9,9,781
8,6,2,4,6,2,708
3,0,0,8,1,4,371
1,5,7,3,10,1,597
2,5,10,9,10,10,982
0,9,0,9,5,4,680
6,4,6,7,9,3,876
6,0,10,3,10,7,927
7,1,9,6,7,0,678
8,10,6,1,2,1,649
8,0,7,10,1,4,674
1,1,7,7,4,0,509
3,7,2,4,3,8,714
1,4,8,9,2,0,617
5,8,5,9,5,8,977
9,0,1,4,0,5,440
9,9,0,2,9,1,677
10,10,9,4,5,3,974
9,6,0,6,8,10,873
2,0,8,8,8,9,804
3,7,0,8,8,8,762
9,5,1,4,1,4,546
4,1,4,9,3,4,558
4,8,7,7,0,10,842
5,4,4,3,1,5,493
9,1,7,8,4,2,803
0,8,0,2,5,9,615
2,8,2,7,10,5,859
6,6,7,5,9,4,875
4,3,1,7,3,8,521
1,7,1,1,10,8,663
1,8,6,0,4,7,605
9,6,5,0,9,5,816
2,4,5,8,1,8,687
2,8,2,9,2,9,731
3,3,6,9,8,2,791
3,2,10,2,0,9,560
2,1,6,0,2,2,282
2,6,7,3,7,6,702
7,0,8,6,5,8,803
0,6,10,2,9,1,661
3,10,8,7,1,1,711
4,8,7,10,4,2,789
10,0,0,4,0,8,570
8,9,4,9,1,5,750
10,10,9,6,5,0,904
2,10,8,3,2,4,630
10,6,8,3,8,4,908
10,9,0,8,4,5,916
0,9,7,8,0,4,592
1,8,3,0,7,8,640
3,0,9,4,9,6,687
6,2,1,0,8,10,681
1,1,2,3,8,8,514
10,2,3,6,6,7,848
2,7,4,10,0,8,657
2,4,9,6,1,8,723
7,8,8,7,0,5,831
5,4,1,0,3,1,363
3,5,8,7,0,3,638
9,2,6,5,9,3,811
10,10,7,6,9,8,934
5,2,3,7,10,3,666
0,2,9,3,4,3,465
3,2,7,9,5,6,746
5,4,4,10,9,0,752
5,5,3,9,6,9,857
10,2,2,8,0,4,645
5,0,9,3,0,9,619
9,6,2,6,5,3,735
1,3,5,8,0,8,497
0,6,0,2,6,7,472
2,6,4,4,7,5,568
3,9,0,1,8,1,437
8,3,6,9,1,3,663
8,0,7,0,3,1,435
6,1,5,4,7,1,576
6,0,5,7,5,2,579
10,4,5,9,8,0,885
2,5,0,4,5,3,455
10,4,5,4,9,5,776
3,8,0,5,0,6,580
3,9,4,5,8,0,734
0,10,0,9,1,3,568
1,10,2,9,2,1,633
5,0,4,0,6,9,555
7,3,1,10,3,7,707
10,10,9,5,10,1,974
5,5,4,6,5,3,668
1,4,9,5,1,7,605
2,7,1,6,9,9,819
4,8,2,6,10,9,897
5,7,2,1,3,3,482
8,8,10,2,2,10,969
5,6,3,5,7,8,842
6,9,10,10,0,3,952
4,1,6,6,5,9,740
1,2,9,8,10,4,796
9,2,4,4,5,3,655
6,9,3,9,8,3,887
7,3,7,10,9,7,940
0,9,9,4,7,5,790
8,1,10,7,5,3,810
8,3,4,7,9,7,874
0,6,2,10,1,1,546
9,2,7,10,1,6,799
6,3,8,9,5,5,821
2,4,9,0,6,5,631
10,10,4,7,2,6,875
10,4,10,1,4,0,714
3,2,3,8,1,8,549
10,10,1,8,3,9,911
2,2,4,1,5,5,376
1,9,2,0,3,2,367
9,8,5,3,7,8,940
7,10,9,5,9,3,902
6,6,7,7,5,8,831
0,2,10,4,7,1,624
2,5,1,0,8,10,529
1,5,8,2,7,7,702
5,3,8,4,4,10,769
7,2,4,7,8,2,662
1,0,8,2,7,8,629
9,5,1,4,7,2,684
6,7,10,5,7,5,858
3,9,2,8,10,6,865
5,1,2,6,6,1,515
0,2,2,5,10,10,736
2,2,7,9,10,10,912
0,10,7,2,6,2,650
2,9,7,4,2,6,730
0,3,8,7,9,6,811
9,9,2,1,7,7,828
3,4,9,1,0,2,391
1,9,10,6,1,9,825
6,9,5,10,2,8,907
6,2,2,9,1,5,652
5,2,4,9,6,3,695
7,7,1,10,1,5,653
6,7,8,7,8,9,925
3,10,5,2,1,6,641
9,2,4,5,4,0,485
1,9,6,4,5,9,756
4,0,6,4,1,10,504
6,7,0,1,0,10,472
1,4,4,0,10,10,642
0,5,9,3,10,0,681
1,4,6,0,5,3,374
6,9,2,6,4,3,659
5,6,1,10,7,3,753
4,2,10,5,3,8,818
9,9,7,3,5,3,898
4,10,4,2,9,1,652
2,8,0,6,8,1,641
10,10,4,10,3,7,909
8,1,7,10,7,1,805
4,7,7,3,2,2,622
7,0,9,8,1,1,556
8,9,5,4,5,5,813
3,5,2,9,0,9,690
6,5,0,0,7,1,441
10,7,5,1,5,1,620
9,10,0,5,10,6,926
2,3,3,3,4,5,414
9,4,7,6,3,2,712
4,3,6,8,7,10,834
6,10,3,8,9,8,940
0,5,1,7,3,1,400
8,10,4,5,4,7,870
9,8,0,5,10,2,780
8,6,7,7,7,6,956
1,3,10,10,3,9,827
10,6,4,10,5,7,995
6,8,6,1,3,9,759
5,3,3,2,2,10,580
9,5,2,2,0,10,564
9,2,9,1,8,5,798
9,0,1,10,8,8,767
4,6,6,5,10,8,938
8,10,8,10,6,9,949
3,4,3,8,3,1,523
3,0,4,0,0,2,231
10,8,4,1,9,9,919
6,7,2,5,10,7,910
7,3,6,8,1,10,792
0,6,1,7,6,2,541
3,5,1,4,6,10,688
10,0,3,6,5,4,632
8,2,9,5,0,7,717
5,3,3,7,4,2,543
4,4,9,7,5,6,825
3,0,9,4,0,9,608
4,4,7,1,0,9,661
8,4,5,9,0,1,697
2,10,1,4,9,7,723
10,2,8,5,7,2,819
3,9,8,3,10,5,920
3,1,7,5,10,0,567
4,2,3,2,8,9,588
8,9,8,4,6,9,902
6,0,8,5,9,4,734
6,5,10,3,5,0,642
7,0,2,0,9,2,450
10,6,2,9,4,0,726
5,9,1,6,6,0,576
0,10,2,8,3,6,703
9,0,0,2,5,9,635
9,0,2,7,4,3,672
6,5,1,2,5,5,617
6,0,8,4,3,2,546
6,5,4,2,1,8,543
0,2,3,8,3,6,445
0,7,3,8,2,2,530
0,0,1,10,6,9,589
2,10,7,10,1,2,692
6,3,6,2,3,3,456
7,4,8,3,5,6,747
6,10,8,0,2,0,611
3,5,10,10,3,1,697
8,4,9,6,4,8,919
3,8,0,10,8,4,772
8,1,1,10,6,10,901
2,2,2,2,2,10,462
7,6,8,5,10,8,959
10,1,10,9,3,5,886
9,9,5,7,3,7,849
10,8,7,10,8,9,949
9,9,5,2,10,0,763
5,8,2,8,7,8,827
2,0,10,1,4,2,492
4,2,6,8,4,1,519
7,10,4,2,8,3,816
7,10,0,2,1,5,570
1,5,1,1,0,0,159
9,4,6,3,2,9,714
4,0,8,8,2,0,471
4,6,2,6,1,2,431
6,0,10,5,5,10,814
5,5,1,7,3,6,664
6,8,6,8,5,2,784
4,8,5,5,9,3,810
5,2,7,2,8,5,676
7,1,3,3,7,2,508
10,9,0,1,5,9,799
8,1,5,6,4,8,687
9,7,1,5,6,7,801
3,4,9,1,2,1,443
0,10,4,6,1,3,553
4,10,10,7,3,6,863
2,6,8,1,0,8,514
1,2,2,9,0,0,261
4,6,10,9,1,3,797
10,10,2,10,0,1,797
4,7,5,2,1,8,594
1,1,3,7,7,5,482
2,3,2,2,2,2,289
9,1,7,5,7,0,733
6,10,9,6,5,2,844
0,7,10,0,3,4,546
3,1,9,4,4,6,601
1,3,3,10,4,2,472
5,5,5,5,0,6,593
0,3,8,5,9,7,751
10,1,8,6,5,0,655
6,9,5,6,0,4,727
8,4,9,0,10,3,854
4,3,0,5,2,3,438
3,1,2,0,0,8,335
5,7,10,3,9,10,918
6,0,6,6,1,0,478
10,7,4,6,9,6,959
1,3,2,7,1,10,560
7,9,8,6,3,5,887
1,9,5,1,6,2,539
0,10,0,9,7,9,822
10,5,8,5,6,8,892
9,5,9,7,7,7,944
3,0,6,8,9,6,720
10,1,4,8,7,2,749
4,10,3,2,6,0,532
9,6,9,9,8,1,958
10,8,3,5,4,0,709
2,8,10,4,1,0,570
10,0,10,10,2,10,941
5,8,6,10,3,7,832
5,7,4,7,9,2,696
1,7,0,6,0,4,433
0,1,2,8,7,7,577
2,7,8,1,9,2,717
5,7,6,10,3,0,768
0,0,9,9,5,10,784
3,1,8,3,0,4,461
2,1,10,10,10,5,888
8,5,7,5,1,8,750
8,6,2,2,1,7,576
8,6,6,9,9,5,923
3,2,10,1,4,1,506
4,8,10,6,5,9,907
9,2,7,9,10,5,949
0,5,3,5,1,3,342
10,5,4,3,7,7,816
4,9,7,0,9,5,767
2,4,0,7,10,9,709
10,6,2,7,0,2,604
9,8,6,9,10,0,932
1,1,9,8,1,7,652
1,0,7,9,7,5,624
10,7,1,9,6,7,954
3,0,10,3,5,8,716
2,5,5,3,8,6,630
10,1,8,10,8,5,958
8,8,9,0,7,7,845
6,1,9,4,1,3,573
2,9,8,5,6,9,868
8,4,1,2,0,8,537
2,7,6,4,0,4,503
7,4,3,0,8,6,627
5,7,4,9,4,5,705
3,4,0,0,2,9,441
8,1,8,3,5,6,706
10,10,10,10,4,1,972
2,1,4,4,9,2,444
6,0,8,6,0,0,469
6,10,7,7,9,7,990
2,6,6,5,7,5,689
4,8,5,7,2,10,837
2,2,8,7,5,0,612
0,3,9,1,10,4,610
0,8,0,5,2,7,540
2,3,0,4,7,2,354
6,0,1,5,0,2,407
6,0,6,5,10,1,608
7,8,10,5,9,5,934
2,1,7,7,4,10,682
10,3,10,9,0,5,837
2,4,7,5,3,9,709
5,10,10,2,1,1,637
2,1,9,8,9,6,849
8,1,8,6,0,1,540
8,6,0,9,8,9,968
5,9,3,5,3,1,627
6,1,9,7,5,6,811
7,10,4,4,3,2,721
9,10,4,3,9,8,966
8,5,0,8,4,9,799
9,7,4,10,8,1,895
1,1,6,5,4,7,634
10,0,9,4,3,0,645
6,6,10,6,7,6,988
4,5,2,1,0,8,499
1,9,0,0,0,0,224
7,6,7,0,9,4,751
6,7,4,7,0,7,682
10,0,0,5,2,8,585
9,0,8,6,10,10,956
1,10,7,10,0,5,748
3,5,2,2,10,7,604
3,1,1,8,4,0,348
4,10,2,0,9,10,783
4,0,7,1,7,4,607
5,0,5,1,5,8,545
5,3,9,5,0,1,500
10,0,8,10,5,8,978
0,6,8,7,9,8,833
10,8,1,5,1,3,674
1,4,1,3,0,7,343
8,5,8,4,10,7,995
6,7,1,7,3,2,655
5,7,2,4,4,6,614
7,7,8,10,9,0,939
3,6,5,9,7,6,869
6,7,8,9,1,6,825
0,4,4,6,9,4,708
0,4,1,9,9,1,604
2,1,5,4,4,4,542
2,2,4,7,9,5,758
10,10,0,8,6,2,823
5,0,0,2,10,10,570
0,9,7,9,6,8,919
0,9,4,6,0,8,578
6,4,0,1,0,0,212
6,5,10,6,3,8,934
3,7,4,0,6,9,753
2,1,5,3,8,7,579
3,9,10,1,5,0,626
7,7,6,3,2,8,701
7,7,9,9,4,0,753
8,3,7,5,7,4,732
10,7,3,7,1,0,615
9,9,8,7,1,1,773
8,7,10,6,6,5,930
10,6,3,8,8,6,938
7,7,7,2,7,7,797
0,4,6,4,6,0,483
6,4,8,3,3,4,706
0,8,9,3,9,3,741
1,9,2,8,9,4,738
1,2,2,0,10,4,399
1,5,2,8,9,1,626
4,7,0,10,9,4,743
10,8,10,4,0,1,749
5,3,3,4,0,6,455
8,6,1,9,3,2,616
10,2,7,3,9,0,703
8,8,3,4,3,5,759
9,7,6,6,2,3,783
5,3,7,2,5,6,683
10,5,0,6,4,5,707
1,1,9,6,8,1,653
8,6,0,1,4,0,410
6,0,2,7,9,8,715
4,0,2,3,3,4,391
0,2,5,9,5,9,652
6,4,5,9,3,2,713
6,8,0,9,5,6,755
3,10,3,9,9,6,893
4,1,2,4,9,9,612
9,1,0,2,1,2,372
2,4,3,4,9,4,607
6,1,1,4,6,2,455
10,7,0,10,6,0,757
1,1,8,7,9,5,745
9,7,6,1,3,6,785
7,0,2,8,2,7,609
2,0,4,6,10,5,595
0,8,5,9,10,4,880
3,5,4,6,2,3,524
5,2,7,10,6,3,746
3,5,2,1,0,7,466
8,0,2,9,4,7,709
1,1,8,3,10,0,529
10,8,1,2,8,1,692
2,6,9,6,6,8,932
9,4,3,5,0,2,586
9,9,5,7,10,4,928
1,0,7,9,5,6,670
6,7,4,6,5,5,777
3,7,10,3,6,10,862
0,8,1,1,6,4,440
5,8,3,7,7,4,750
